nom,specialite,adresse,actes
Dr Mounir youssef MAKNI,Gynécologue Obstétricien - Gynécologue,Centre Urbain Nord Tunis Tunisie   ,"Pose ou ablation ou changement de dispositif intra-vaginal | Infection vaginale | Opérations plastiques des annexes de l'utérus (Ovaires, Trompes) pour stérilité | Traitement des condylomes au laser | Injection de PRP intra-vaginal"
Dr Hichem HADJ TAIEB,Gynécologue Obstétricien - Gynécologue,Houmet Essouk Medenine Tunisie   ,"Plastie vaginale | Écho-Doppler des artères utérines de la mère et des vaisseaux du fœtus à partir du 2ème trimestre, pour souffrance fœtale | Accouchement par césarienne | Triple opération type Manchester | Hystérectomie"
Dr Nizar BAHRI,Gynécologue Obstétricien - Gynécologue,Le Kram Tunis Tunisie   ,Transfert d'embryons dans l'utérus | La micro-injection spermatique | Traitement de la rupture utérine | Pose ou ablation ou changement de dispositif intra-vaginal | troubles sexuelles du couple
Dr Ben salah IMEN,Gynécologue Obstétricien - Gynécologue,Bizerte Nord Bizerte Tunisie   ,"Nymphoplastie ou réduction des lèvres vaginales | Échographie doppler 2D,3D ET 4D 1er trimestre | Transfert d'embryons dans l'utérus | Infertilité | Chirurgie esthétique de la partie intime"
Dr Narjess TORKHANI,Gynécologue Obstétricien - Gynécologue,L'aouina Tunis Tunisie   ,Avortement par médicaments au 1er trimestre de la grossesse (IVG) | Amniocentèse | Accouchement gemellaire | douleur mammaire | Échographie 2eme trimestre (morphologique)
Dr Amel YAZIDI AMEUR,Gynécologue Obstétricien - Gynécologue,Hammam Sousse Sousse Tunisie   ,ECHOGRAPHIE 3D/4D | Prise en charge Ménopause | Infection vaginale | Prise en charge de la ménopause | Dépistage précoce du cancer du col de l'utérus
Dr Manel BEN KHEDIJA,Gynécologue Obstétricien - Gynécologue,Le Bardo Tunis Tunisie   ,Conisation ou amputation du col de l'utérus | Cerclage du col de l'utérus | Pose ou retrait de dispositif intra-utérin [D.I.U.] [stérilet] | Chirurgie laparoscopique | Pose ou ablation ou changement de dispositif intra-vaginal
Dr Khemiri HENDA,Gynécologue Obstétricien - Gynécologue,Sfax Ville Sfax Tunisie   ,Traitement et chirurgie des maladies liées aux seins | Frottis cervico-vaginale et colposcopie | AMP (Assistance Médicale à la Procréation) | Ovariectomie/ Exérèse de l'ovaire | Échographie biométrique et morphologique au 2ème trimestre
Dr Mohaned ALOUANI,Gynécologue Obstétricien - Gynécologue,Sousse Khezama Sousse Tunisie   ,Hystéroscopie diagnostique | Périnéoplastie chirurgicale | Biopsie du col utérin | La médecine fœtale | ECHOGRAPHIE 3D/4D
Dr Rym ZGAYA EP SAID,Gynécologue Obstétricien - Gynécologue,Sousse Jaouhara Sousse Tunisie   ,"Suivi du diabète gestationnel | HYFOSY | Infection vaginale | Chirurgie gynécologie voie haute, voie vaginale et coelioscopie | Augmentation du volume des grandes lèvres"
Pr Mahmoud KHAROUF,Gynécologue Obstétricien - Gynécologue,Cite El Khadra Tunis Tunisie   ,
Dr Lilia BOURAOUI,Gynécologue Obstétricien - Gynécologue,Les Berges Du Lac 2 Tunis Tunisie   ,Opérations plastiques sur un utérus malformé pour stérilité | Traitement chirurgical de la grossesse extra-utérine | Interruption volontaire de grossesse (IVG) jusqu'à 3 mois | Accouchement par voie basse en présentation céphalique | Régulation de la reproduction
Dr Meziou CHEKIB RAFAAT,Gynécologue Obstétricien - Gynécologue,Hammamet Nabeul Tunisie   ,Plastie vaginale | Prise en charge de la ménopause | Colposcopie | Insémination artificielle par voie intra-utérine ou intra-cervicale | Chirurgie des cancers du col
Dr Ghada CHINE LAMINE,Gynécologue Obstétricien - Gynécologue,Gabes Medina Gabes Tunisie   ,Échographie biométrique et morphologique au 1er trimestre | Accouchement par voie basse en présentation céphalique | Échographie biométrique et morphologique au 3ème trimestre | Echographie 4D | Suivi de grossesse
Dr Naghmouchi OLFA,Gynécologue Obstétricien - Gynécologue,El Manar 2 Tunis Tunisie   ,ECHOGRAPHIE 3D/4D | Résection de polypes ou de myomes de l'utérus | Gynécologie esthétique | Suivi du diabète gestationnel | Fils tenseurs en gynécologie
Dr Ghada HAMDI KEBIR,Gynécologue Obstétricien - Gynécologue,Le Kram Tunis Tunisie   ,"Prélèvement chirurgical/ Ponction trans-cutanée de spermatozoîdes | Filler vaginal | Hystérectomie vaginale | Injections de Botox | Suivi de grossesse, RCF (enregistrement du rythme cardiaque du fœtus)"
Dr Olfa CHAFFAI,Gynécologue Obstétricien - Gynécologue,Cité Ennasr 2 Ariana Tunisie   ,AMP (Assistance Médicale à la Procréation) | Infertilité | Résection de polypes ou de myomes de l'utérus | Hystéro-sono-salpingosongraphie | Prise en charge Ménopause
Dr Hejer BEN MLEH LATROUS,Gynécologue Obstétricien - Gynécologue,Hammam Lif Ben arous Tunisie   ,Frottis cervico-vaginal | Accouchement gemellaire | Traitement du vaginisme | Echographie 4D | hymenoplastie
Dr Emna TRIGUI,Gynécologue Obstétricien - Gynécologue,Jardins de Carthage Tunis Tunisie   ,"douleur mammaire | Opérations plastiques des annexes de l'utérus (Ovaires, Trompes) pour stérilité | Plastie tubaire | Échographie biométrique et morphologique au 3ème trimestre | Transfert d'embryons dans l'utérus"
Dr Ikbel GHODBANE,Gynécologue Obstétricien - Gynécologue,Centre Urbain Nord Tunis Tunisie   ,Traitement de la sécheresse vaginale | Chirurgie endoscopique & traitement de l'infertilité | hymenorraphie | Amplification du point G | Insémination artificielle par voie intra-utérine ou intra-cervicale
Dr Souad MESKHI,Gynécologue Obstétricien - Gynécologue,Jedaida Mannouba Tunisie   ,"Plastie tubaire | Cancer du sein | Suivi de grossesse | Dépistage précoce du cancer du col de l'utérus | Écho-Doppler des artères utérines de la mère et des vaisseaux du fœtus à partir du 2ème trimestre, pour souffrance fœtale"
Dr Moez ATTIA,Gynécologue Obstétricien - Gynécologue,Les Berges Du Lac 2 Tunis Tunisie   ,Préservation de la fertilité | Prise en charge incontinence urinaire | Traitement et chirurgie des maladies liées aux seins | Suivi de grossesse | La micro-injection spermatique
Dr Meriem BOUAZIZ,Gynécologue Obstétricien - Gynécologue,Centre Urbain Nord Tunis Tunisie   ,Frottis cervico-vaginal | Régulation de la reproduction | Maladies cervicales | Amnio infusion-Amnio drainage | La micro-injection spermatique
Dr Insaf MORJENE,Gynécologue Obstétricien - Gynécologue,Hammam Sousse Sousse Tunisie   ,"Stérilité du couplé (PMA)- insémination intra uterine (IAC) | Colposcopie avec ou sans biopsie pour examen histologique | Traitement des dysplasies du col utérin par vaporisation simple au laser ou électrocoagulation | Échographie doppler 2D,3D ET 4D 1er trimestre | Suivi de grossesse"
Dr Imen CHAMKHI,Gynécologue Obstétricien - Gynécologue,Bizerte Tunisie   ,"Plastie tubaire | AMP (Assistance Médicale à la Procréation) | Cerclage isthmique sous coelioscopie | Avortement par médicaments au 1er trimestre de la grossesse (IVG) | Échographie doppler 2D,3D ET 4D 1er trimestre"
Dr Slim DAMMAK,Gynécologue Obstétricien - Gynécologue,Gabes Medina Gabes Tunisie   ,Avortement par aspiration ou curetage au 1er trimestre de grossesse (IVG) | Accouchement par césarienne | Échographie biométrique et morphologique au 1er trimestre | Hystéroscopie | Hystéroscopie diagnostique et thérapeutique
Dr Amira MASRI MOATEMRI,Gynécologue Obstétricien - Gynécologue,Ariana Ville Ariana Tunisie   ,Chirurgie endoscopique & traitement de l'infertilité | L'obstétrique | Frottis cervico-vaginal | LED Vaginale | Resserrement vaginal au laser
Pr Sonia BEN HAMOUDA HANI,Gynécologue Obstétricien - Gynécologue,Cité Ennasr 2 Ariana Tunisie   ,Échographie 5D | Frottis cervico-vaginal | hymenoplastie | Plastie de la vulve et du périnée | Accouchement par césarienne
Pr Monia NOUIRA CHAKROUN,Gynécologue Obstétricien - Gynécologue,Sousse Khezama Sousse Tunisie   ,"Traitement des dysplasies du col utérin par vaporisation simple au laser ou électrocoagulation | Prélèvement et examen de la glaire cervicale, avec ou sans examen de la mobilité des spermatozoïdes (Test de hühner) | Hystérectomie | Echographie 4D | Insémination artificielle par voie intra-utérine ou intra-cervicale"
Pr Dorra ZEGHAL,Gynécologue Obstétricien - Gynécologue,El Menzah 6 Ariana Tunisie   ,Prise en charge incontinence urinaire | Insémination artificielle par voie intra-utérine ou intra-cervicale | Frottis cervico-vaginal | Interruption thérapeutique de la grossesse | PMA
